STATE,BRAND,YEAR,PURCHASES,PREDICTED
TX,FORD,1981,10.0,
TX,FORD,1982,14.0,
TX,FORD,1983,6.0,
TX,FORD,1984,15.0,
TX,FORD,1985,20.0,
TX,FORD,1986,37.0,
TX,FORD,1987,30.0,
TX,FORD,1988,45.0,
TX,FORD,1989,61.0,
TX,FORD,1990,54.0,
TX,FORD,1991,73.0,
TX,FORD,1992,102.0,
TX,FORD,1993,154.0,
TX,FORD,1994,197.0,
TX,FORD,1995,307.0,
TX,FORD,1996,282.0,
TX,FORD,1997,518.0,
TX,FORD,1998,527.0,
TX,FORD,1999,781.0,
TX,FORD,2000,808.0,
TX,FORD,2001,894.0,
TX,FORD,2002,934.0,
TX,FORD,2003,1051.0,
TX,FORD,2004,843.0,
TX,FORD,2005,897.0,
TX,FORD,2006,980.0,
TX,FORD,2007,1024.0,
TX,FORD,2008,1213.0,
TX,FORD,2009,616.0,
TX,FORD,2010,1241.0,
TX,FORD,2011,1342.0,
TX,FORD,2012,1503.0,
TX,FORD,2013,1956.0,
TX,FORD,2014,1439.0,
TX,FORD,2015,1313.0,
TX,FORD,2016,1644.0,
TX,FORD,2017,1818.0,
TX,FORD,2018,1285.0,
TX,FORD,2019,1180.0,
TX,FORD,2020,669.0,
TX,FORD,2021,573.0,
TX,FORD,2022,431.0,
TX,FORD,2023,,691.7155239536331
TX,TOYOTA,1981,3.0,
TX,TOYOTA,1982,3.0,
TX,TOYOTA,1983,2.0,
TX,TOYOTA,1984,9.0,
TX,TOYOTA,1985,3.0,
TX,TOYOTA,1986,13.0,
TX,TOYOTA,1987,5.0,
TX,TOYOTA,1988,23.0,
TX,TOYOTA,1989,24.0,
TX,TOYOTA,1990,30.0,
TX,TOYOTA,1991,45.0,
TX,TOYOTA,1992,64.0,
TX,TOYOTA,1993,85.0,
TX,TOYOTA,1994,119.0,
TX,TOYOTA,1995,159.0,
TX,TOYOTA,1996,192.0,
TX,TOYOTA,1997,225.0,
TX,TOYOTA,1998,318.0,
TX,TOYOTA,1999,475.0,
TX,TOYOTA,2000,490.0,
TX,TOYOTA,2001,593.0,
TX,TOYOTA,2002,623.0,
TX,TOYOTA,2003,680.0,
TX,TOYOTA,2004,886.0,
TX,TOYOTA,2005,905.0,
TX,TOYOTA,2006,1298.0,
TX,TOYOTA,2007,1121.0,
TX,TOYOTA,2008,971.0,
TX,TOYOTA,2009,1269.0,
TX,TOYOTA,2010,1451.0,
TX,TOYOTA,2011,1388.0,
TX,TOYOTA,2012,1552.0,
TX,TOYOTA,2013,1613.0,
TX,TOYOTA,2014,1799.0,
TX,TOYOTA,2015,1873.0,
TX,TOYOTA,2016,1880.0,
TX,TOYOTA,2017,1287.0,
TX,TOYOTA,2018,1234.0,
TX,TOYOTA,2019,572.0,
TX,TOYOTA,2020,737.0,
TX,TOYOTA,2021,201.0,
TX,TOYOTA,2022,,1234.0
TX,CHEVROLET,1981,16.0,
TX,CHEVROLET,1982,25.0,
TX,CHEVROLET,1983,19.0,
TX,CHEVROLET,1984,28.0,
TX,CHEVROLET,1985,46.0,
TX,CHEVROLET,1986,36.0,
TX,CHEVROLET,1987,41.0,
TX,CHEVROLET,1988,40.0,
TX,CHEVROLET,1989,48.0,
TX,CHEVROLET,1990,58.0,
TX,CHEVROLET,1991,101.0,
TX,CHEVROLET,1992,86.0,
TX,CHEVROLET,1993,128.0,
TX,CHEVROLET,1994,169.0,
TX,CHEVROLET,1995,218.0,
TX,CHEVROLET,1996,202.0,
TX,CHEVROLET,1997,267.0,
TX,CHEVROLET,1998,315.0,
TX,CHEVROLET,1999,528.0,
TX,CHEVROLET,2000,625.0,
TX,CHEVROLET,2001,703.0,
TX,CHEVROLET,2002,869.0,
TX,CHEVROLET,2003,800.0,
TX,CHEVROLET,2004,820.0,
TX,CHEVROLET,2005,1022.0,
TX,CHEVROLET,2006,699.0,
TX,CHEVROLET,2007,1099.0,
TX,CHEVROLET,2008,932.0,
TX,CHEVROLET,2009,759.0,
TX,CHEVROLET,2010,697.0,
TX,CHEVROLET,2011,1169.0,
TX,CHEVROLET,2012,1019.0,
TX,CHEVROLET,2013,1118.0,
TX,CHEVROLET,2014,929.0,
TX,CHEVROLET,2015,1206.0,
TX,CHEVROLET,2016,1178.0,
TX,CHEVROLET,2017,1257.0,
TX,CHEVROLET,2018,1132.0,
TX,CHEVROLET,2019,873.0,
TX,CHEVROLET,2020,551.0,
TX,CHEVROLET,2021,547.0,
TX,CHEVROLET,2022,218.0,
TX,CHEVROLET,2023,,1169.0
FL,TOYOTA,1981,1.0,
